Sample_ID	lib_type	seq_reads_pairs	seq_retained_reads	seq_retained_nts	seq_retained_length	hits_raw	hits_raw_frac	hits_clonality	hits_unique	hits_unique_frac	hits_coverage	hits_length
PMON2003JPN0001M	PE	39705224	62302125	10597218653	170.09401610298204	53331625	0.8560161471217875	0.15966935190892828	44816199	0.7193366036872739	7.039859182694294	163.79360766405023
PMON2003JPN0002U	PE	838109	1204599	213557048	177.28476281318513	1031597	0.8563820823361135	0.1481382749271275	878778	0.7295191179803403	0.14364543023751586	170.44357505536098
PMON2004JPN0001M	PE	15951341	20921401	3876555159	185.29137503745565	18394042	0.8791974304206491	0.17619433510046356	15153116	0.7242878237456468	2.603273366674489	179.13721738815963
PMON2004JPN0002F	PE	53468010	85925180	14431078545	167.94935483405447	74033721	0.861606818862643	0.15993832053909596	62192892	0.7238028712887189	9.632290053418073	161.49415042477844
PMON2004JPN0003F	PE	55914872	88036734	14939477051	169.69594818226673	75570371	0.858395894150276	0.17176848317973725	62589763	0.7109505334443688	9.793610990574146	163.15768661721884
PMON2005JPN0001U	PE	42839720	68710481	11549038650	168.08263429272165	58601844	0.8528807126237408	0.16745118122904123	48788896	0.7100648298474289	7.556391817416519	161.49589013041
PMON2005PHL0001F	PE	64854295	104221270	17470037706	167.62449455854838	89325502	0.8570755470548382	0.1935550051540712	72036104	0.6911842851272106	11.133605444486893	161.15864478178887
PMON2005PHL0002U	PE	38728582	62582935	10452020636	167.010713639429	53541948	0.8555359060740759	0.16852606856963814	44518734	0.7113558033032488	6.846292755539544	160.35431724091706
PMON2005PHL0003U	PE	48292495	72616275	12573083285	173.14415101848724	62143389	0.855777702725732	0.18012115496308068	50950050	0.7016340345191212	8.13848826208642	166.5586236323615
PMON2005PHL0004U	PE	31596544	46682373	8100637478	173.5266859291836	39374832	0.8434625206392143	0.1692099918039015	32712217	0.7007402344349547	5.243506397513237	167.13977768611647
PMON2005PHL0005F	PE	53104224	83968264	14144961783	168.45604647727384	71546316	0.8520637749519271	0.17223819043317334	59223308	0.7053058522205484	9.20098008929626	161.9979151958212
PMON2005PHL0006U	PE	44734348	73846688	12209129153	165.33076138770096	63113448	0.8546550929948273	0.16645072219790624	52608169	0.7123971355357196	8.008499317194433	158.73253520760247
PMON2005PHL0008M	PE	35479854	53694528	9230212687	171.9022967666277	46047084	0.8575749841771586	0.1605990077460714	38651968	0.719849292650454	6.1386397705388225	165.60312729742506
PMON2005PHL0009F	PE	43926974	65990321	11392342895	172.63657339990814	56196595	0.8515884473421489	0.1743552434093204	46398424	0.7031095363212432	7.401851088977563	166.34322258445675
PMON2005PHL0010M	PE	51086624	80449186	13567794773	168.6504916656335	68730367	0.854332659127216	0.1788809013634396	56435817	0.7015088629983155	8.800526971986285	162.60049306985314
PMON2005PHL0011F	PE	16801527	23517537	4219995903	179.44038540260402	20084266	0.8540123057954581	0.19523651001236486	16163084	0.6872779237043403	2.6876608155348	173.38767620090326
PMON2006JPN0001F	PE	48560164	76423361	12925976488	169.13645669156057	65314305	0.8546379555329947	0.18827184948228415	53017460	0.6937336870070396	8.273135024729628	162.71185320835815
PMON2006JPN0002F	PE	54632345	85164514	14483349223	170.0631934915991	72719419	0.8538699463487809	0.1847593144274159	59283829	0.6961095204512058	9.295586849012626	163.49653889596098
PMON2006JPN0003M	PE	47038192	72688873	12398965856	170.57584392593347	61607968	0.8475570669530121	0.1694527402689211	51168329	0.7039361994235349	8.041037828132582	163.8622323781572
PMON2007JPN0001M	PE	45648410	74027900	12427399868	167.87454281426326	64470493	0.8708945276037818	0.15499898534977852	54477632	0.7359067594785209	8.434607286204425	161.44129831120412
PMON2008JPN0002U	PE	39162799	60561301	10303040295	170.1258084762743	51827269	0.8557819621477418	0.1567666820337379	43702480	0.7216238633975185	6.8498807940135436	163.43494733022015
PMON2008JPN0003M	PE	49690843	77319709	13198475495	170.70001511516293	66197950	0.8561588093923116	0.16447344668528252	55310145	0.7153434191015903	8.697740888721953	163.97198911700556
PMON2009JPN0001M	PE	45792385	73710589	12370388475	167.82376376072642	61873691	0.8394138730868098	0.16728373291969922	51523229	0.6989935869322655	7.927090291982052	160.42746781262485
PMON2009JPN0002M	PE	53525732	83664534	14211363901	169.86126882628665	72172107	0.8626368133479354	0.1947084903590247	58119585	0.6946741016928392	9.114915636234375	163.53026677668123
PMON2011JPN0001U	PE	43470736	69341690	11708701081	168.85514444484986	58434946	0.8427101502717917	0.15633864023764132	49299306	0.7109619912638414	7.661195691249261	162.0405641612886
PMON2011JPN0002U	PE	48981675	74882248	12890419272	172.14252531521223	64623973	0.8630079187793614	0.15970511438533808	54303194	0.725181140395251	8.637742569114407	165.86046492955828
PMON2011JPN0003U	PE	50737505	82962330	13748586062	165.72082850132102	69389104	0.8363929026583511	0.18087368587437014	56838441	0.6851114355153719	8.648708706035926	158.66352882550032
PMON2011JPN0004U	PE	47809099	76188039	12819110304	168.25620494051566	63964134	0.8395561145759376	0.17162458574050266	52986316	0.6954676442059363	8.19353659941669	161.24106916585785
PMON2011JPN0005U	PE	50058531	78827382	13421511321	170.26458294657053	67355081	0.8544629961198001	0.16277168458902158	56391581	0.7153806148223977	8.83929782777124	163.4449448225259
PMON2011JPN0006U	PE	46610726	78290113	12910308382	164.90343272336315	67094644	0.8570002191719918	0.1581918669991006	56480817	0.721429754482536	8.563556083915215	158.0961057981863
PMON2011JPN0007U	PE	44367622	69925127	11876871551	169.85126892940787	59395413	0.8494144458257473	0.16985744336856445	49306660	0.7051350796974598	7.7147154581815185	163.14821417634047
PMON2014JPN0002U	PE	40860917	62840555	10740000283	170.90874329483563	50778173	0.808047812435775	0.16760209155221084	42267645	0.6726173089973505	6.634033240251105	163.6581315093377
PMON2016JPN0001U	PE	42337147	63261621	10920408538	172.62296421395843	53697176	0.8488112563539907	0.18755967725379075	43625751	0.6896084910628515	6.952206890247196	166.1681435810698
PMON2016JPN0002M	PE	45508977	73804592	12365919572	167.54946049969357	62258453	0.8435579862022677	0.1692082198059114	51723811	0.7008210410539225	7.951640890168457	160.30026439853785
PMON2016JPN0003F	PE	37273242	54052901	9480688260	175.3964742798911	46002884	0.8510715086318864	0.18025311195706772	37710721	0.6976632207029925	6.1203485110048685	169.23076336832702
PMON2016JPN0004U	PE	39879777	62099050	10566935621	170.16259702845696	52892170	0.8517387947158612	0.1776320389199384	43496826	0.7004426959832719	6.826983933971051	163.6587802291597
PMONXXXXJPN0001M	PE	36872939	56656450	9698750825	171.18529002434852	48661170	0.8588813806724566	0.16314696091359904	40722248	0.7187574936304693	6.4407749723177785	164.92039945830103
TreeSparrow_01	PE	63300936	118458418	12077113789	101.95234743891312	102648770	0.8665384168814411	0.018877313386219785	100711037	0.8501804996247713	9.548709163780744	98.86341188205618
TreeSparrow_02	PE	73316693	141353181	13884975192	98.22895455037549	125190238	0.8856556118110989	0.011085169436294229	123802483	0.875837969291968	11.362133862801034	95.69704841057187
TreeSparrow_03	PE	70486607	122597921	13106092953	106.90306039529007	107092902	0.8735295111570448	0.0178966576141526	105176297	0.8578962525800091	10.50772423092476	104.17386720698106
TreeSparrow_04	PE	66646695	123041207	12575543557	102.20595086490007	107845156	0.876496245684586	0.01700887706073695	106010831	0.8615880287975394	10.09802264279009	99.32397633030534
TreeSparrow_05	PE	58274574	109324169	11132931496	101.83412870030597	95457579	0.8731608012497218	0.01894813401877704	93648836	0.8566160333676993	8.882753459628969	98.90385537733752
TreeSparrow_06	PE	56867520	106667892	10870605008	101.91075125024501	93534764	0.8768783393600766	0.015412301676411944	92093178	0.863363625860348	8.740894221029004	98.96836622360888
TreeSparrow_07	PE	72823450	133855751	13637203671	101.87984878587697	115481666	0.8627321959442744	0.023516780577100382	112765909	0.8424435121954529	10.672063746297363	98.68214525721599
TreeSparrow_08	PE	68550072	126282750	12869838963	101.91288171187276	107927730	0.8546514072587111	0.025281176579920683	105199190	0.833044814117526	9.94563675216488	98.57985927458186
TreeSparrow_09	PE	69495368	128101844	13071967054	102.04355102023355	109839253	0.8574369390030014	0.023696501286293303	107236447	0.8371186834750013	10.160178434665644	98.79316870690428
TreeSparrow_10	PE	70546598	129367387	13258509181	102.48726119048845	111934628	0.8652461071970171	0.022265335084688864	109442366	0.8459811126895529	10.42522129916893	99.32711142228047
Zhabagly_01	PE	58510998	107060118	16927221623	158.10949902932109	94617439	0.8837785794332863	0.15768864764982704	79697343	0.7444167304205661	11.61443823562406	151.95757783292726
Zhabagly_02	PE	58281025	107129641	16814586819	156.95550421008133	94178446	0.8791072678008881	0.1671104447826629	78440244	0.7321992612670102	11.3443684449411	150.80279250533692
Zhabagly_03	PE	33804950	63482027	9825221002	154.77169627869634	55513703	0.874479055308048	0.1058450379359489	49637853	0.781919786524775	7.069982658625701	148.51603851600913
Zhabagly_04	PE	54615174	100696744	15847675592	157.38021868909684	89717205	0.890964309630508	0.15328098997288198	75965263	0.7543964182198384	11.038059840843115	151.5115338572579
Zhabagly_05	PE	50237564	94387649	14605596373	154.740546329319	82925946	0.8785677668483934	0.1608227176570286	69589570	0.7372741109379681	9.913618632735634	148.54432050665065
Zhabagly_06	PE	30359129	56096557	8792672952	156.7417578230336	49375556	0.8801887074816375	0.15243613661788435	41848937	0.7460161414184475	6.045489943628749	150.63124599795688
Zhabagly_07	PE	55018541	101152444	15915673188	157.34343688225664	88591172	0.8758184033595866	0.15627637254872306	74746465	0.7389486802711361	10.82670192460924	151.03358054457826
Zhabagly_08	PE	28245398	51783286	8132249904	157.04391382192316	44806971	0.8652786344999427	0.13750373797862836	38645845	0.7462995878631572	5.573860927742603	150.39081652891792
Zhabagly_09	PE	34338138	63712902	9986851477	156.74770985945673	56822796	0.8918569742750063	0.13276488541676124	49278724	0.7734496852772458	7.125138884865893	150.76546679658344
Zhabagly_10	PE	45243969	84325851	13189894469	156.4157884276792	75094637	0.8905292518186386	0.1415132481431397	64467751	0.7645075648273031	9.302252538089292	150.45741716660785
Zhabagly_11	PE	38748798	71376929	11231622026	157.35647615211911	63368220	0.8877969518694199	0.14496335860467602	54182150	0.759098923967435	7.861807630187621	151.29834417792574
Zhabagly_12	PE	41014307	73691400	11729937932	159.17648371451756	65016063	0.88227477019028	0.13408909425967552	56298118	0.763971345367302	8.277742374508124	153.31548646084403
Zhabagly_13	PE	43223968	80653933	12568702312	155.83495862501832	70780928	0.8775880526495837	0.13205536101476378	61433927	0.7616978455346994	8.81463069118711	149.61110838641326
